Arrondissement;Adresse;Type de réserve;CP;VILLE;longitude;latitude;result_score;result_score_next;result_label;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
8e;25 rue du Général Foy;LS 100-60;75008;Paris;2.317369;48.87893;0.9693072727272727;;25 Rue du Général Foy 75008 Paris;housenumber;75108_4041_00025;25;25 Rue du Général Foy;Rue du Général Foy;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;22 rue du Général Foy;LS 100-60;75008;Paris;2.318015;48.878309;0.9693072727272727;;22 Rue du Général Foy 75008 Paris;housenumber;75108_4041_00022;22;22 Rue du Général Foy;Rue du Général Foy;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;15 rue du Général Foy;LS 100-60;75008;Paris;2.317917;48.878068;0.9693072727272727;;15 Rue du Général Foy 75008 Paris;housenumber;75108_4041_00015;15;15 Rue du Général Foy;Rue du Général Foy;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;2-4 rue de Lisbonne;LS 100-60;75008;Paris;2.317768;48.87792;0.9102848484848484;;4 Rue de Lisbonne 75008 Paris;housenumber;75108_5708_00004;4;4 Rue de Lisbonne;Rue de Lisbonne;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;34 avenue George V;LS 100-60;75008;Paris;2.301371;48.869099;0.9701672727272725;;34 Avenue George V 75008 Paris;housenumber;75108_4110_00034;34;34 Avenue George V;Avenue George V;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;156 boulevard Haussmann;LS 100-60;75008;Paris;2.311072;48.875273;0.9738363636363636;;156 Boulevard Haussmann 75008 Paris;housenumber;75108_4485_00156;156;156 Boulevard Haussmann;Boulevard Haussmann;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;124 boulevard Haussmann;LS 100-100;75008;Paris;2.317855;48.87515;0.9738363636363636;;124 Boulevard Haussmann 75008 Paris;housenumber;75108_4485_00124;124;124 Boulevard Haussmann;Boulevard Haussmann;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;63 boulevard Haussmann;LS 35-35;75008;Paris;2.325486;48.873836;0.9738363636363636;;63 Boulevard Haussmann 75008 Paris;housenumber;75108_4485_00063;63;63 Boulevard Haussmann;Boulevard Haussmann;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;146 boulevard Haussmann;LS 100-60;75008;Paris;2.312331;48.875322;0.9738363636363636;;146 Boulevard Haussmann 75008 Paris;housenumber;75108_4485_00146;146;146 Boulevard Haussmann;Boulevard Haussmann;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;135 boulevard Haussmann;LS 100-60;75008;Paris;2.312906;48.875022;0.9738363636363636;;135 Boulevard Haussmann 75008 Paris;housenumber;75108_4485_00135;135;135 Boulevard Haussmann;Boulevard Haussmann;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;19-19bis rue de la Baume;LS 100-60;75008;Paris;2.313044;48.874763;0.7908368686868686;;19b Rue de la Baume 75008 Paris;housenumber;75108_5190_00019_b;19b;19b Rue de la Baume;Rue de la Baume;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;27 rue du Docteur Lancereaux;LS 100-60;75008;Paris;2.309699;48.875693;0.967170909090909;;27 Rue du Docteur Lancereaux 75008 Paris;housenumber;75108_2846_00027;27;27 Rue du Docteur Lancereaux;Rue du Docteur Lancereaux;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;162-164 boulevard Haussmann;LS 100-60;75008;Paris;2.30966;48.875218;0.8781425837320573;;164 Boulevard Haussmann 75008 Paris;housenumber;75108_4485_00164;164;164 Boulevard Haussmann;Boulevard Haussmann;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;14 avenue Hoche;LS 100-100;75008;Paris;2.302145;48.876943;0.971150909090909;;14 Avenue Hoche 75008 Paris;housenumber;75108_4645_00014;14;14 Avenue Hoche;Avenue Hoche;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;24 rue Beaujon;LS 35-35;75008;Paris;2.29968;48.875157;0.9677399999999999;0.6586678787878787;24 Rue Beaujon 75008 Paris;housenumber;75108_0779_00024;24;24 Rue Beaujon;Rue Beaujon;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;43 avenue Hoche;LS 35-35;75008;Paris;2.299592;48.875474;0.971150909090909;;43 Avenue Hoche 75008 Paris;housenumber;75108_4645_00043;43;43 Avenue Hoche;Avenue Hoche;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
